                    STNAME                                         CTYNAME  BIRTHS2023  POPESTIMATE2023  CRUDE_BIRTHRATE_2023
313               Colorado                                     Weld County        4658           359442             12.958975
314               Colorado                                     Yuma County         134             9862             13.587508
315            Connecticut                                     Connecticut       34957          3617176              9.664169
316            Connecticut                         Capitol Planning Region        9391           975328              9.628556
317            Connecticut              Greater Bridgeport Planning Region        3374           327651             10.297542
318            Connecticut  Lower Connecticut River Valley Planning Region        1432           176215              8.126436
319            Connecticut                Naugatuck Valley Planning Region        4388           456128              9.620107
320            Connecticut        Northeastern Connecticut Planning Region         827            96692              8.552931
321            Connecticut                 Northwest Hills Planning Region         921           113463              8.117184
322            Connecticut       South Central Connecticut Planning Region        5674           568158              9.986659
323            Connecticut        Southeastern Connecticut Planning Region        2595           279634              9.279987
324            Connecticut             Western Connecticut Planning Region        6355           623907             10.185813
325               Delaware                                        Delaware       10725          1031890              10.39355
326               Delaware                                     Kent County        2153           189789             11.344177
327               Delaware                               New Castle County        6080           578592             10.508268
328               Delaware                                   Sussex County        2492           263509              9.456982
329   District of Columbia                            District of Columbia        7627           678972             11.233158
330   District of Columbia                            District of Columbia        7627           678972             11.233158
331                Florida                                         Florida      223578         22610726              9.888139
332                Florida                                  Alachua County        2679           285994              9.367329
333                Florida                                    Baker County         354            28368             12.478849
334                Florida                                      Bay County        2127           190769              11.14961
335                Florida                                 Bradford County         306            27858             10.984277
336                Florida                                  Brevard County        5217           643979              8.101196
337                Florida                                  Broward County       21028          1962531             10.714735
338                Florida                                  Calhoun County         138            13470             10.244989
339                Florida                                Charlotte County        1095           206134              5.312079
340                Florida                                   Citrus County        1045           166696              6.268897
341                Florida                                     Clay County        2303           232439              9.907976
342                Florida                                  Collier County        3388           404310              8.379709
343                Florida                                 Columbia County         751            73063               10.2788
344                Florida                                   DeSoto County         409            35979             11.367742
345                Florida                                    Dixie County         156            17465               8.93215
346                Florida                                    Duval County       12873          1030822             12.488092
347                Florida                                 Escambia County        3761           326928             11.504062
348                Florida                                  Flagler County         874           131439              6.649472
349                Florida                                 Franklin County          88            12594              6.987454
350                Florida                                  Gadsden County         486            43833             11.087537
351                Florida                                Gilchrist County         209            19587             10.670343
352                Florida                                   Glades County          72            12786              5.631159
353                Florida                                     Gulf County         113            15693              7.200663
354                Florida                                 Hamilton County         167            13471             12.397001
355                Florida                                   Hardee County         361            25760             14.013975
356                Florida                                   Hendry County         562            43333             12.969331
