                    STNAME                                         CTYNAME  BIRTHS2023  POPESTIMATE2023  CRUDE_BIRTHRATE_2023
1704              Nebraska                                   Custer County         130            10581             12.286173
1705              Nebraska                                   Dakota County         375            21268             17.632123
1706              Nebraska                                    Dawes County          80             8133              9.836469
1707              Nebraska                                   Dawson County         369            24085             15.320739
1708              Nebraska                                    Deuel County          20             1871             10.689471
1709              Nebraska                                    Dixon County          60             5491             10.926971
1710              Nebraska                                    Dodge County         489            37187             13.149757
1711              Nebraska                                  Douglas County        7842           589540             13.301896
1712              Nebraska                                    Dundy County          18             1561              11.53107
1713              Nebraska                                 Fillmore County          61             5548             10.994953
1714              Nebraska                                 Franklin County          24             2825              8.495575
1715              Nebraska                                 Frontier County          19             2585              7.350097
1716              Nebraska                                   Furnas County          56             4556             12.291484
1717              Nebraska                                     Gage County         206            21634              9.522049
1718              Nebraska                                   Garden County          17             1794              9.476031
1719              Nebraska                                 Garfield County          22             1763             12.478729
1720              Nebraska                                   Gosper County          17             1847              9.204115
1721              Nebraska                                    Grant County           8              565             14.159292
1722              Nebraska                                  Greeley County          26             2219              11.71699
1723              Nebraska                                     Hall County         923            62197             14.839944
1724              Nebraska                                 Hamilton County         108             9537             11.324316
1725              Nebraska                                   Harlan County          32             3045             10.509031
1726              Nebraska                                    Hayes County          10              846             11.820331
1727              Nebraska                                Hitchcock County          29             2552             11.363636
1728              Nebraska                                     Holt County         129            10093             12.781135
1729              Nebraska                                   Hooker County           6              679              8.836524
1730              Nebraska                                   Howard County          78             6527              11.95036
1731              Nebraska                                Jefferson County          78             7054             11.057556
1732              Nebraska                                  Johnson County          37             5198              7.118122
1733              Nebraska                                  Kearney County          80             6770             11.816839
1734              Nebraska                                    Keith County          81             8113              9.983976
1735              Nebraska                                Keya Paha County           5              805               6.21118
1736              Nebraska                                  Kimball County          26             3289              7.905138
1737              Nebraska                                     Knox County          83             8298              10.00241
1738              Nebraska                                Lancaster County        3664           326716             11.214633
1739              Nebraska                                  Lincoln County         343            33365             10.280234
1740              Nebraska                                    Logan County           6              655              9.160305
1741              Nebraska                                     Loup County           3              592              5.067568
1742              Nebraska                                McPherson County           4              383             10.443864
1743              Nebraska                                  Madison County         466            35627             13.079967
1744              Nebraska                                  Merrick County          86             7755              11.08962
1745              Nebraska                                  Morrill County          57             4504             12.655417
1746              Nebraska                                    Nance County          38             3274             11.606597
1747              Nebraska                                   Nemaha County          82             7076             11.588468
1748              Nebraska                                 Nuckolls County          43             4095             10.500611
1749              Nebraska                                     Otoe County         197            16335             12.059994
1750              Nebraska                                   Pawnee County          31             2512             12.340764
1751              Nebraska                                  Perkins County          24             2795              8.586762
1752              Nebraska                                   Phelps County         117             9057             12.918185
1753              Nebraska                                   Pierce County          93             7299             12.741471
1754              Nebraska                                   Platte County         454            34609             13.117975
1755              Nebraska                                     Polk County          54             5228             10.328998
1756              Nebraska                               Red Willow County         108            10457              10.32801
1757              Nebraska                               Richardson County          71             7689              9.233971
1758              Nebraska                                     Rock County          15             1271             11.801731
1759              Nebraska                                   Saline County         172            14555             11.817245
1760              Nebraska                                    Sarpy County        2363           199886             11.821738
1761              Nebraska                                 Saunders County         244            23463             10.399352
1762              Nebraska                             Scotts Bluff County         433            35699             12.129191
1763              Nebraska                                   Seward County         172            17671              9.733462
1764              Nebraska                                 Sheridan County          46             4928              9.334416
1765              Nebraska                                  Sherman County          32             2983             10.727456
1766              Nebraska                                    Sioux County          12             1154             10.398614
1767              Nebraska                                  Stanton County          62             5856             10.587432
1768              Nebraska                                   Thayer County          50             4829             10.354111
1769              Nebraska                                   Thomas County           8              677             11.816839
1770              Nebraska                                 Thurston County         132             6557             20.131158
1771              Nebraska                                   Valley County          51             4012             12.711864
1772              Nebraska                               Washington County         205            21152              9.691755
1773              Nebraska                                    Wayne County         107             9874              10.83654
1774              Nebraska                                  Webster County          33             3351              9.847807
1775              Nebraska                                  Wheeler County          13              775             16.774194
1776              Nebraska                                     York County         161            14356             11.214823
1777                Nevada                                          Nevada       33055          3194176             10.348522
1778                Nevada                                Churchill County         280            25803             10.851451
1779                Nevada                                    Clark County       24876          2336573             10.646361
1780                Nevada                                  Douglas County         326            49545              6.579877
1781                Nevada                                     Elko County         566            54293             10.424917
1782                Nevada                                Esmeralda County           3              736              4.076087
1783                Nevada                                   Eureka County          18             1917              9.389671
1784                Nevada                                 Humboldt County         198            17136             11.554622
1785                Nevada                                   Lander County          60             5769             10.400416
1786                Nevada                                  Lincoln County          30             4452              6.738544
1787                Nevada                                     Lyon County         633            62583             10.114568
1788                Nevada                                  Mineral County          35             4528              7.729682
1789                Nevada                                      Nye County         368            55720              6.604451
1790                Nevada                                 Pershing County          50             6364              7.856694
1791                Nevada                                   Storey County          18             4177              4.309313
1792                Nevada                                   Washoe County        5003           498022             10.045741
1793                Nevada                               White Pine County          67             8522              7.862004
1794                Nevada                                     Carson City         524            58036              9.028879
1795         New Hampshire                                   New Hampshire       12155          1402054              8.669424
1796         New Hampshire                                  Belknap County         458            65027              7.043228
1797         New Hampshire                                  Carroll County         310            52448              5.910616
1798         New Hampshire                                 Cheshire County         656            77703              8.442402
1799         New Hampshire                                     Coos County         224            31372              7.140125
1800         New Hampshire                                  Grafton County         662            93146              7.107122
1801         New Hampshire                             Hillsborough County        4170           427354              9.757718
1802         New Hampshire                                Merrimack County        1298           157103              8.262096
1803         New Hampshire                               Rockingham County        2877           320689              8.971309
1804         New Hampshire                                Strafford County        1155           133243              8.668373
1805         New Hampshire                                 Sullivan County         345            43969              7.846437
1806            New Jersey                                      New Jersey      102055          9290841             10.984474
1807            New Jersey                                 Atlantic County        2779           275213             10.097633
1808            New Jersey                                   Bergen County        9117           957736              9.519325
1809            New Jersey                               Burlington County        4731           469167             10.083829
1810            New Jersey                                   Camden County        6227           527196             11.811546
1811            New Jersey                                 Cape May County         744            94610              7.863862
1812            New Jersey                               Cumberland County        1857           152326             12.190959
1813            New Jersey                                    Essex County        9950           851117              11.69052
1814            New Jersey                               Gloucester County        3057           308423              9.911712
1815            New Jersey                                   Hudson County        8855           705472              12.55188
1816            New Jersey                                Hunterdon County        1116           130183              8.572548
1817            New Jersey                                   Mercer County        4130           381671             10.820838
1818            New Jersey                                Middlesex County        8603           863623              9.961523
1819            New Jersey                                 Monmouth County        6315           642799              9.824222
1820            New Jersey                                   Morris County        5024           514423              9.766282
1821            New Jersey                                    Ocean County       10251           659197             15.550738
1822            New Jersey                                  Passaic County        6332           513395             12.333583
1823            New Jersey                                    Salem County         721            65338             11.034926
1824            New Jersey                                 Somerset County        3190           348842              9.144541
1825            New Jersey                                   Sussex County        1416           146132              9.689869
1826            New Jersey                                    Union County        6624           572726              11.56574
1827            New Jersey                                   Warren County        1016           111252               9.13242
1828            New Mexico                                      New Mexico       20728          2114371              9.803388
1829            New Mexico                               Bernalillo County        6473           671586              9.638378
1830            New Mexico                                   Catron County          22             3825              5.751634
1831            New Mexico                                   Chaves County         738            63561             11.610893
1832            New Mexico                                   Cibola County         225            26780              8.401792
1833            New Mexico                                   Colfax County          85            12255              6.935945
1834            New Mexico                                    Curry County         754            47222             15.967134
1835            New Mexico                                  De Baca County          14             1657              8.449004
1836            New Mexico                              Do\xf1a Ana County        2285           225210             10.146086
1837            New Mexico                                     Eddy County         734            60275              12.17752
1838            New Mexico                                    Grant County         214            27472               7.78975
1839            New Mexico                                Guadalupe County          23             4292              5.358807
1840            New Mexico                                  Harding County           0              624                   0.0
1841            New Mexico                                  Hidalgo County          43             3965             10.844893
1842            New Mexico                                      Lea County         810            72101             11.234241
1843            New Mexico                                  Lincoln County         181            20029              9.036897
1844            New Mexico                               Los Alamos County         170            19444              8.743057
1845            New Mexico                                     Luna County         326            25316             12.877232
1846            New Mexico                                 McKinley County         756            68797             10.988851
1847            New Mexico                                     Mora County          28             4123              6.791171
1848            New Mexico                                    Otero County         687            68835              9.980388
1849            New Mexico                                     Quay County          62             8510              7.285546
1850            New Mexico                               Rio Arriba County         405            39876             10.156485
1851            New Mexico                                Roosevelt County         228            18787             12.136052
1852            New Mexico                                 Sandoval County        1307           155936              8.381644
1853            New Mexico                                 San Juan County        1326           120675             10.988191
1854            New Mexico                               San Miguel County         223            26668              8.362082
1855            New Mexico                                 Santa Fe County        1129           155956              7.239221
1856            New Mexico                                   Sierra County          67            11488              5.832173
1857            New Mexico                                  Socorro County         152            15963               9.52202
1858            New Mexico                                     Taos County         235            34405              6.830403
1859            New Mexico                                 Torrance County         154            15633              9.850956
1860            New Mexico                                    Union County          35             3964              8.829465
1861            New Mexico                                 Valencia County         837            79141              10.57606
1862              New York                                        New York      207450         19571216              10.59975
1863              New York                                   Albany County        2861           316659              9.034956
1864              New York                                 Allegany County         496            46651             10.632141
1865              New York                                    Bronx County       16614          1356476             12.247913
1866              New York                                   Broome County        1873           196077               9.55237
1867              New York                              Cattaraugus County         791            75600             10.462963
1868              New York                                   Cayuga County         669            74485              8.981674
1869              New York                               Chautauqua County        1273           124891             10.192888
1870              New York                                  Chemung County         820            81325                10.083
1871              New York                                 Chenango County         473            45920             10.300523
1872              New York                                  Clinton County         676            78115              8.653908
1873              New York                                 Columbia County         463            60470              7.656689
1874              New York                                 Cortland County         419            45752               9.15807
1875              New York                                 Delaware County         354            44410              7.971178
1876              New York                                 Dutchess County        2726           297150              9.173818
1877              New York                                     Erie County        9592           946147              10.13796
1878              New York                                    Essex County         267            36775              7.260367
1879              New York                                 Franklin County         451            46502              9.698508
1880              New York                                   Fulton County         481            52234              9.208561
1881              New York                                  Genesee County         542            57529              9.421335
1882              New York                                   Greene County         393            47062              8.350686
1883              New York                                 Hamilton County          27             5082              5.312869
1884              New York                                 Herkimer County         563            59484               9.46473
1885              New York                                Jefferson County        1856           114787             16.169078
1886              New York                                    Kings County       31066          2561225             12.129352
1887              New York                                    Lewis County         289            26548             10.885942
1888              New York                               Livingston County         518            61158              8.469865
1889              New York                                  Madison County         546            66921              8.158874
1890              New York                                   Monroe County        7776           748482             10.389027
1891              New York                               Montgomery County         603            49368              12.21439
1892              New York                                   Nassau County       14213          1381715             10.286492
1893              New York                                 New York County       13309          1597451              8.331398
1894              New York                                  Niagara County        2001           209457              9.553273
1895              New York                                   Oneida County        2481           227555             10.902859
1896              New York                                 Onondaga County        4930           467873             10.537047
1897              New York                                  Ontario County         983           112494              8.738244
1898              New York                                   Orange County        5585           407470             13.706531
1899              New York                                  Orleans County         391            39124              9.993866
1900              New York                                   Oswego County        1148           118162              9.715475
1901              New York                                   Otsego County         483            60126               8.03313
1902              New York                                   Putnam County         926            98060              9.443198
1903              New York                                   Queens County       23304          2252196             10.347234
1904              New York                               Rensselaer County        1496           159305              9.390791
1905              New York                                 Richmond County        4920           490687             10.026758
1906              New York                                 Rockland County        6236           340807             18.297746
1907              New York                             St. Lawrence County        1022           106940              9.556761
1908              New York                                 Saratoga County        2122           238711               8.88941
1909              New York                              Schenectady County        1835           159902             11.475779
1910              New York                                Schoharie County         267            30105              8.868959
1911              New York                                 Schuyler County         177            17507             10.110242
1912              New York                                   Seneca County         343            32349              10.60311
1913              New York                                  Steuben County         993            92162             10.774506
1914              New York                                  Suffolk County       16113          1523170             10.578596
1915              New York                                 Sullivan County         995            79920              12.44995
1916              New York                                    Tioga County         464            47715              9.724405
1917              New York                                 Tompkins County         699           103558              6.749841
1918              New York                                   Ulster County        1576           182333              8.643526
1919              New York                                   Warren County         525            65380              8.029979
1920              New York                               Washington County         562            60047              9.359335
1921              New York                                    Wayne County         900            90829               9.90873
1922              New York                              Westchester County       10278           990817             10.373258
1923              New York                                  Wyoming County         350            39532              8.853587
1924              New York                                    Yates County         345            24472             14.097744
1925        North Carolina                                  North Carolina      121148         10835491             11.180665
1926        North Carolina                                 Alamance County        1944           179165             10.850333
1927        North Carolina                                Alexander County         352            36473              9.650975
1928        North Carolina                                Alleghany County         102            11342              8.993123
1929        North Carolina                                    Anson County         267            21897             12.193451
1930        North Carolina                                     Ashe County         205            27063              7.574918
1931        North Carolina                                    Avery County         137            17561              7.801378
1932        North Carolina                                 Beaufort County         443            44481              9.959308
1933        North Carolina                                   Bertie County         152            16922               8.98239
1934        North Carolina                                   Bladen County         349            29484             11.836929
1935        North Carolina                                Brunswick County        1127           159964              7.045335
1936        North Carolina                                 Buncombe County        2432           275901              8.814756
1937        North Carolina                                    Burke County         861            88338              9.746655
1938        North Carolina                                 Cabarrus County        2723           240016             11.345077
1939        North Carolina                                 Caldwell County         753            80574              9.345446
1940        North Carolina                                   Camden County          77            11137              6.913891
1941        North Carolina                                 Carteret County         488            69615              7.009983
1942        North Carolina                                  Caswell County         192            22807              8.418468
1943        North Carolina                                  Catawba County        1670           164645             10.143035
1944        North Carolina                                  Chatham County         689            81624              8.441145
1945        North Carolina                                 Cherokee County         285            29959              9.513001
1946        North Carolina                                   Chowan County         137            13891              9.862501
1947        North Carolina                                     Clay County          90            11864              7.585974
1948        North Carolina                                Cleveland County        1127           101378              11.11681
1949        North Carolina                                 Columbus County         583            50121             11.631851
1950        North Carolina                                   Craven County        1257           102391              12.27647
1951        North Carolina                               Cumberland County        5281           337890             15.629347
1952        North Carolina                                Currituck County         290            31593              9.179249
1953        North Carolina                                     Dare County         283            38110              7.425872
1954        North Carolina                                 Davidson County        1779           174804             10.177113
1955        North Carolina                                    Davie County         420            44599              9.417252
1956        North Carolina                                   Duplin County         720            49520              14.53958
1957        North Carolina                                   Durham County        4190           336892              12.43722
1958        North Carolina                                Edgecombe County         592            48832             12.123198
1959        North Carolina                                  Forsyth County        4504           392921             11.462864
1960        North Carolina                                 Franklin County         846            77001              10.98687
1961        North Carolina                                   Gaston County        2752           237242              11.59997
1962        North Carolina                                    Gates County          86            10343              8.314802
1963        North Carolina                                   Graham County          96             8052             11.922504
1964        North Carolina                                Granville County         644            62192              10.35503
1965        North Carolina                                   Greene County         199            20530              9.693132
1966        North Carolina                                 Guilford County        5862           549866             10.660779
1967        North Carolina                                  Halifax County         528            47298             11.163263
1968        North Carolina                                  Harnett County        1858           141477             13.132877
1969        North Carolina                                  Haywood County         519            62969              8.242151
1970        North Carolina                                Henderson County        1032           119230               8.65554
1971        North Carolina                                 Hertford County         183            19453              9.407289
1972        North Carolina                                     Hoke County         932            54446             17.117878
1973        North Carolina                                     Hyde County          38             4607              8.248318
1974        North Carolina                                  Iredell County        2016           199710             10.094637
1975        North Carolina                                  Jackson County         346            44574              7.762373
1976        North Carolina                                 Johnston County        2831           241955             11.700523
1977        North Carolina                                    Jones County          96             9401              10.21168
1978        North Carolina                                      Lee County         783            67059             11.676285
1979        North Carolina                                   Lenoir County         657            54895             11.968303
1980        North Carolina                                  Lincoln County         932            95675              9.741312
1981        North Carolina                                 McDowell County         392            44893              8.731874
1982        North Carolina                                    Macon County         323            38412              8.408831
1983        North Carolina                                  Madison County         189            22071              8.563273
1984        North Carolina                                   Martin County         218            21447             10.164592
1985        North Carolina                              Mecklenburg County       15062          1163701             12.943187
1986        North Carolina                                 Mitchell County         115            14999              7.667178
1987        North Carolina                               Montgomery County         253            26085              9.699061
1988        North Carolina                                    Moore County        1192           106898             11.150817
1989        North Carolina                                     Nash County        1076            96551             11.144369
1990        North Carolina                              New Hanover County        2215           238852              9.273525
1991        North Carolina                              Northampton County         161            16715              9.632067
1992        North Carolina                                   Onslow County        3888           213676             18.195773
1993        North Carolina                                   Orange County        1195           150626              7.933557
1994        North Carolina                                  Pamlico County          87            12423              7.003139
1995        North Carolina                               Pasquotank County         429            41444             10.351317
1996        North Carolina                                   Pender County         672            68521              9.807212
1997        North Carolina                               Perquimans County         114            13377               8.52209
1998        North Carolina                                   Person County         424            39737             10.670156
1999        North Carolina                                     Pitt County        2059           175119             11.757719
2000        North Carolina                                     Polk County         136            20060              6.779661
2001        North Carolina                                 Randolph County        1550           147458             10.511468
2002        North Carolina                                 Richmond County         526            42324             12.427937
2003        North Carolina                                  Robeson County        1862           117365             15.865036
2004        North Carolina                               Rockingham County         919            92518              9.933202
2005        North Carolina                                    Rowan County        1626           151661              10.72128
2006        North Carolina                               Rutherford County         630            65507              9.617293
2007        North Carolina                                  Sampson County         813            59601             13.640711
2008        North Carolina                                 Scotland County         412            34376             11.985106
2009        North Carolina                                   Stanly County         704            65699             10.715536
2010        North Carolina                                   Stokes County         421            45532              9.246244
2011        North Carolina                                    Surry County         737            71462             10.313173
2012        North Carolina                                    Swain County         166            13916             11.928715
2013        North Carolina                             Transylvania County         245            33549              7.302751
2014        North Carolina                                  Tyrrell County          40             3461             11.557353
2015        North Carolina                                    Union County        2512           256452              9.795205
2016        North Carolina                                    Vance County         522            42301             12.340134
2017        North Carolina                                     Wake County       13218          1190275             11.104997
2018        North Carolina                                   Warren County         175            18836               9.29072
2019        North Carolina                               Washington County         111            10713             10.361243
2020        North Carolina                                  Watauga County         306            54748              5.589245
2021        North Carolina                                    Wayne County        1593           118686             13.421971
2022        North Carolina                                   Wilkes County         681            66013              10.31615
2023        North Carolina                                   Wilson County         887            78970             11.232113
2024        North Carolina                                   Yadkin County         381            37774             10.086303
2025        North Carolina                                   Yancey County         174            18938              9.187876
2026          North Dakota                                    North Dakota        9649           783926              12.30856
2027          North Dakota                                    Adams County          20             2163              9.246417
2028          North Dakota                                   Barnes County          85            10726              7.924669
2029          North Dakota                                   Benson County         104             5745             18.102698
2030          North Dakota                                 Billings County          14             1034             13.539652
2031          North Dakota                                Bottineau County          74             6349             11.655379
2032          North Dakota                                   Bowman County          30             2867               10.4639
2033          North Dakota                                    Burke County          22             2134             10.309278
2034          North Dakota                                 Burleigh County        1144           100012             11.438627
2035          North Dakota                                     Cass County        2408           196362             12.263065
2036          North Dakota                                 Cavalier County          36             3596             10.011123
2037          North Dakota                                   Dickey County          58             4900             11.836735
2038          North Dakota                                   Divide County          19             2135              8.899297
2039          North Dakota                                     Dunn County          69             4019              17.16845
2040          North Dakota                                     Eddy County          31             2263              13.69863
2041          North Dakota                                   Emmons County          36             3224             11.166253
2042          North Dakota                                   Foster County          37             3309             11.181626
2043          North Dakota                            Golden Valley County          18             1743             10.327022
2044          North Dakota                              Grand Forks County         853            72708             11.731859
2045          North Dakota                                    Grant County          21             2215              9.480813
2046          North Dakota                                   Griggs County          23             2248             10.231317
2047          North Dakota                                Hettinger County          24             2415              9.937888
2048          North Dakota                                   Kidder County          20             2342               8.53971
2049          North Dakota                                  LaMoure County          51             4096             12.451172
2050          North Dakota                                    Logan County          30             1869             16.051364
2051          North Dakota                                  McHenry County          62             5131             12.083415
2052          North Dakota                                 McIntosh County          30             2488             12.057878
2053          North Dakota                                 McKenzie County         219            14252             15.366264
2054          North Dakota                                   McLean County          93             9832               9.45891
2055          North Dakota                                   Mercer County          78             8309              9.387411
2056          North Dakota                                   Morton County         418            33895             12.332202
2057          North Dakota                                Mountrail County         151             9383             16.092934
2058          North Dakota                                   Nelson County          25             2991              8.358409
2059          North Dakota                                   Oliver County          18             1879              9.579564
2060          North Dakota                                  Pembina County          61             6661              9.157784
2061          North Dakota                                   Pierce County          28             3902              7.175807
